PUID,sg,trawl,sewage,farms,settle
837,0,7,0,0,0.678933673
838,0,25,0,0,32.54612191
839,0,0,0,0,1826
840,0,0,0,0,1826
841,0,0,0,0,1826
842,0,0,0,0,1826
843,0,0,0,0,21.33538712
844,0,17,0,0,5.706142387
845,0.05,0,0,0,226
846,0,0,0,0,226
847,0,0,0,0,226
848,0,0,0,0,539
849,0,0,0,0,539
850,0,0,0,0,539
851,0,0,0,0,539
852,0,0,0,0,419
853,0,0,0,0,7548
854,0,0,0,0,7548
855,0,0,0,0,632.7116306
856,0,0,0,0,0.05915161
857,0,0,0,0,4.67E-06
858,0,0,0,0,40.21075723
859,0.15,0,0,0,435
860,0,0,0,0,435
861,0,0,0,0,475
862,0.05,0,0,0,475
863,0.05,0,0,0,203.5618005
864,0.05,0,0,0,1.383077106
865,0.05,0,0,0,3.224480697
866,0,0,0,0,3.42E-14
867,0.05,0,0,0,6.48E-10
868,0.35,2,0,0,1.03E-05
869,0.35,0,0,0,0.082083112
870,0.15,0,0,0,159
871,0,0,0,0,170
872,0,0,0,0,545
873,0.05,4,0,0,545
874,0.05,5,0,0,9.321604495
875,0,18,0,0,9.306372722
876,0,36,0,0,0.035019281
877,0,5,0,0,354
878,0,0,0,0,354
879,0,0,0,0,1826
880,0,0,0,0,1826
881,0.05,0,0,0,1826
882,0,0,0,0,547.832214
883,0,3,0,0,0.024871544
884,0,6,0,0,0.31632363
885,0,2,0,0,0.271495284
886,0,11,0,0,0.002869672
887,0,16,0,0,35.79860983
888,0,0,0,0,1826
889,0,0,0,0,1826
890,0,0,0,0,1826
891,0,0,0,0,1826
892,0,4,0,0,14.52803692
893,0.05,1,0,0,226
894,0,0,0,0,226
895,0,0,0,0,226
896,0,0,1,0,226
897,0,0,0,0,226
898,0.05,0,0,0,539
899,0,0,0,0,539
900,0,0,0,0,539
901,0,0,0,0,505
902,0,0,0,0,505
903,0,0,0,0,419
904,0,0,0,0,685
905,0,0,0,0,933
906,0,0,0,0,933
907,0,0,0,0,933
908,0,0,0,0,442
909,0,0,0,0,442
910,0,0,0,0,7548
911,0,0,1,0,7548
912,0,0,0,0,7548
913,0,0,0,0,4197.934537
914,0,0,0,0,368
915,0,0,0,0,148.2913274
916,0,0,0,0,0.008854677
917,0,0,0,0,4.17E-06
918,0,0,0,0,0.112420873
919,0.15,0,0,0,384
920,0.15,0,0,0,384
921,0,0,0,0,264
922,0,0,0,0,264
923,0.05,0,0,0,264
924,0.05,0,0,0,0.250450021
925,0,0,0,0,0.014761931
926,0,3,0,0,3.38E-13
927,0.05,4,0,0,6.92E-09
928,0.35,2,0,0,0.000128385
929,0.35,2,0,0,1.314125001
930,0.15,0,0,0,159
931,0,1,0,0,545
932,0.05,13,0,0,226.6576318
933,0,23,0,0,0.601066862
934,0,6,0,0,9.079983399
935,0.05,1,0,0,354
936,0,0,0,0,1826
937,0,0,0,0,1826
